38	776	388	50	985	333	778	756	71	210
669	673	247	97	871	325	430	22	870	55
358	817	974	179	251	633	683	741	777	234
861	169	939	766	849	139	392	705	964	804
943	971	892	969	470	177	121	840	282	132
894	451	329	614	377	803	949	590	897	924
902	761	646	736	388	506	653	764	680	353
813	521	572	79	964	927	869	405	347	690
748	903	535	69	503	860	165	281	842	254
993	13	348	667	627	885	228	175	209	621
229	807	752	485	95	482	873	763	451	358
449	62	814	224	193	725	479	882	121	730
645	112	522	38	749	108	62	221	856	432
588	516	289	243	690	399	477	297	552	168
567	454	373	766	650	636	6	90	621	733
704	527	109	893	837	302	95	66	546	124
246	780	393	756	881	337	850	329	472	713
182	135	676	981	488	113	884	806	952	390
838	802	402	608	720	447	22	754	205	742
233	130	689	795	131	681	486	301	847	308
213	76	854	209	155	201	348	127	532	22
553	69	165	497	214	314	906	446	995	292
586	442	823	428	970	477	536	391	354	850
552	711	465	95	321	615	396	458	808	485
774	454	346	821	870	645	526	835	505	825
853	868	634	421	629	567	816	505	155	642
645	295	248	641	912	321	144	125	668	808
667	434	925	238	468	177	422	808	629	508
404	600	660	764	282	779	27	679	312	919
528	286	134	984	274	393	24	567	867	506
409	282	507	815	803	21	902	973	973	274
478	764	782	426	892	981	759	302	199	647
479	709	991	93	160	393	888	189	647	585
622	755	759	971	611	59	299	457	158	800
628	802	200	704	797	459	584	542	259	687
482	811	79	28	339	945	670	416	204	260
648	158	580	481	342	691	521	395	540	220
612	160	127	159	293	751	994	254	580	848
458	760	766	97	72	709	391	135	100	381
661	802	869	381	456	275	318	383	611	811
512	677	481	934	194	23	851	578	750	846
310	476	842	634	161	280	2	46	830	643
64	655	685	77	177	568	896	583	879	439
724	797	868	986	334	976	398	505	736	247
340	628	157	704	488	212	497	921	473	747
93	890	155	427	451	419	202	475	591	261
858	186	671	252	715	799	981	87	84	395
326	872	13	815	625	609	355	576	727	610
735	637	445	84	252	300	552	657	131	443
489	397	267	926	554	874	364	184	104	217
795	771	455	406	405	646	215	670	258	722
683	344	939	183	9	809	128	184	536	397
734	523	882	160	179	366	968	360	399	107
557	119	32	438	185	524	936	395	926	347
998	812	543	902	149	922	217	716	797	572
100	685	789	383	958	638	908	193	48	785
721	301	109	746	942	32	264	430	98	452
675	744	51	160	217	104	184	854	56	827
913	438	413	846	181	518	662	34	969	193
620	175	611	226	405	163	739	673	247	257
301	948	583	290	575	292	672	909	577	425
465	606	913	780	665	972	882	371	139	440
