754	717	190	777	756
899	135	892	21	826
624	930	646	790	843
790	704	150	630	887
108	386	686	49	676
677	218	668	725	679
611	91	616	71	396
392	964	504	111	921
872	118	658	749	851
190	65	775	587	129
695	783	671	160	390
884	390	271	902	987
296	161	672	870	720
947	190	676	838	927
740	166	643	172	418
369	680	846	988	998
321	342	991	749	655
890	868	468	192	140
759	741	262	959	42
890	129	838	804	238
653	961	594	872	816
564	407	77	382	93
576	741	986	779	193
790	588	627	588	245
915	284	495	233	701
271	73	396	711	215
883	647	932	537	273
999	810	935	390	48
836	879	969	418	209
39	796	855	184	193
236	117	454	112	606
397	676	690	630	445
598	508	753	638	14
801	668	505	573	100
382	456	866	311	662
624	861	620	85	56
66	377	612	702	191
257	123	289	2	676
304	411	92	305	135
14	38	180	156	779
762	926	960	435	580
284	533	494	347	865
16	886	892	599	209
574	666	458	90	274
545	292	134	987	729
631	582	505	218	361
8	133	781	14	619
97	978	511	550	200
284	47	643	40	58
636	612	324	996	244
511	672	919	461	472
258	176	557	675	408
743	895	189	166	810
75	635	510	700	70
90	102	232	539	782
997	681	968	952	70
99	278	486	923	664
201	982	58	117	221
494	994	316	460	480
506	481	848	3	391
665	722	671	133	830
24	641	463	975	883
764	626	661	828	10
677	508	866	214	902
667	627	406	463	505
104	774	486	211	297
675	217	941	894	624
268	483	818	147	848
628	719	243	713	675
850	123	339	700	140
791	304	72	484	482
428	667	285	932	490
555	300	513	129	115
85	672	449	796	342
729	994	610	227	118
874	418	8	1	740
314	661	596	376	266
836	789	887	827	990
540	831	534	614	742
969	941	662	496	861
429	486	348	829	450
434	279	425	573	879
948	548	146	52	645
825	725	648	357	611
267	363	747	674	946
330	172	839	161	523
969	252	800	77	377
654	22	646	37	179
315	703	48	967	915
424	986	924	775	584
433	477	412	392	783
15	728	829	677	941
423	409	690	528	273
758	165	851	594	296
597	313	20	470	280
528	626	908	722	811
307	153	341	850	810
320	784	485	488	494
50	953	250	797	564
595	214	36	880	730
533	617	228	796	635
383	433	618	570	499
6	245	977	543	481
381	850	255	917	195
908	71	587	617	41
644	141	424	558	28
504	612	691	408	544
882	801	636	389	252
471	294	208	407	693
421	146	303	61	48
197	934	958	895	122
164	501	349	267	968
158	419	181	154	545
500	948	687	209	901
963	366	515	289	859
751	626	55	579	427
491	960	71	192	590
369	865	522	771	568
14	139	380	696	548
885	785	494	54	56
461	568	648	617	356
561	432	635	577	213
109	140	124	175	293
606	885	465	592	54
652	729	85	115	90
206	974	988	517	949
586	408	174	621	799
720	613	632	846	601
300	511	280	227	412
413	714	153	17	745
846	244	281	260	864
636	437	245	190	583
922	933	447	420	790
946	9	244	914	745
320	434	56	893	753
31	416	845	764	116
647	145	971	204	919
72	394	912	76	487
815	449	530	799	33
116	816	53	606	710
819	977	568	32	437
140	184	889	937	886
753	249	133	299	809
946	483	128	137	644
117	346	740	921	327
93	759	57	628	135
325	288	414	570	803
956	223	324	742	336
937	898	328	669	19
820	72	434	669	293
728	409	901	240	377
593	665	803	114	774
455	817	964	720	445
355	881	606	683	135
572	515	976	933	878
21	855	13	138	729
565	772	325	257	536
982	724	264	123	840
276	474	810	614	834
342	790	796	390	385
578	388	791	425	733
287	180	786	304	205
478	13	985	785	933
